gvkey,first_year,last_year,first_markup,last_markup,first_PPI,last_PPI,first_COGS,last_COGS,periods,cagr_markup,cagr_PPI,cagr_COGS,ind2d_definition,dot_size,sale_CPI,conm,naics,markup_closest_2018
119133.0,2000,2015,1.6610759,0.67135346,105.9657353809805,106.07164760664236,434.1405788541051,11700.256518731081,15,-5.860739243416302,0.006660194217888993,24.55782043577688,Manufacturing,9.628530905886098,15192.101078697537,DEER VALLEY CORP,321992.0,0.67135346
119173.0,2009,2018,1.2432351,0.94505298,47.18472347392808,32.66910429878382,15271.807599571563,39567.788971577844,9,-3.0010600536299004,-4.002585839289852,11.157568332203205,Information,10.829053704718715,50465.928516385924,AUTOWEB INC,519130.0,0.94505298
119216.0,1997,2009,1.4486747,1.5909233,73.90213763501491,50.77076245794662,195355.09381148644,198739.6960360114,12,0.7835992025003957,-3.080077749010801,0.1432442623668928,Manufacturing,12.849661671640712,380659.9255425064,VARIAN INC,334516.0,1.5909233
119233.0,1998,2004,1.4729162,1.3681608,83.51851851851852,53.51583306494901,95274.69135802469,218313.472893183,6,-1.2220859441605558,-7.149712807358255,14.819900091411276,Manufacturing,12.81162271178692,366451.95920558233,BROOKS AUTOMATION CDA INC,333242.0,1.3681608
119275.0,1997,2018,1.5364622,1.6178418,93.47553911389831,60.194731160807166,63923.46699645338,425662.7417799936,21,0.24606671463933694,-2.07397657074897,9.448490692589907,Manufacturing,13.63380751364088,833848.9198240337,MKS INC,334513.0,1.6178418
119297.0,2009,2018,3.5283704,3.3037598,48.08123321993272,50.63108228479108,269.89661827086866,1589.655250147885,9,-0.7281688879533288,0.5758038907641039,21.777562905992998,Manufacturing,9.367086438849043,11696.9855097459,MEDICURE INC,325414.0,3.3037598
119314.0,1998,2016,0.89975131,21.908152,66.9753086419753,50.66231509359547,21398.14814814815,180227.3988953343,18,19.40619179081262,-1.5388243352481124,12.56764755419908,Administrative and Support and Waste Management and Remediation Services,15.324128305456124,4520478.031764009,BOOKING HOLDINGS INC,561510.0,21.908152
119316.0,1997,2018,1.9449067,0.83112109,71.45546245015449,71.44608277964963,8865.747105755778,149839.4733499481,21,-3.9676832501480908,-0.0006251151172698144,14.412097510266397,Manufacturing,12.533092884948033,277365.90910378605,TREX CO INC,321219.0,0.83112109
119417.0,2003,2009,1.9263232,1.7766434,54.76450959668622,56.2913751043962,2544906.760958009,3181194.0566122313,6,-1.3390744562328805,0.4593681931841509,3.7894111095626126,Manufacturing,15.646065745563915,6237348.596018554,PEPSI BOTTLING GROUP INC,31211.0,1.7766434
119493.0,1997,2013,2.2385216,2.0737684,65.99749473008123,16.61782034625495,4090.3390269974298,18492.828439349272,16,-0.47666167447272256,-8.258589481918621,9.888628273416234,Manufacturing,10.716664045126555,45101.19605143323,PLX TECHNOLOGY INC,334413.0,2.0737684
119513.0,1997,2009,1.8992213,1.9304637,63.739025328671595,58.9809043424101,3752.1959693974886,2649.4222230610617,12,0.13606142190656367,-0.644441852206401,-2.8583509081471226,Real Estate and Rental and Leasing,8.753475922400183,6332.661737435888,OPTIBASE LTD,531120.0,1.9304637
119553.0,1997,2001,1.3865238,0.99035138,65.99749473008123,49.54441631296035,5684.442012825722,3347.380219397482,4,-8.068256727163947,-6.917762003203077,-12.399960658567988,Manufacturing,8.299020125234941,4019.931433944679,HEARTLAND TECHNOLOGY INC,334413.0,0.99035138
119574.0,1998,2018,1.4660586,2.0723963,72.53086419753086,41.06743340877498,8298.765432098766,157436.14486259868,20,1.745702315832598,-2.8039232091894406,15.852270034572902,Manufacturing,12.886792599599922,395059.86904471484,EXTREME NETWORKS INC,334210.0,2.0723963
119696.0,1998,2002,3.5938921,4.3389955,62.283950617283956,56.274620146314014,2235.185185185185,3620.7090602138437,4,4.822868818930237,-2.5046045569804165,12.815826549784681,Information,9.966829522413569,21307.822172200336,SAGENT TECHNOLOGY INC,511210.0,4.3389955
119736.0,1997,2010,0.076710634,0.84231222,66.4366415581331,42.71499932341098,959.8494955990901,8126.884787809682,13,20.23959430485842,-3.3406085827210052,17.859108283180134,Manufacturing,9.008855972483548,8175.163311301621,WORLDGATE COMMUNICATIONS INC,334220.0,0.84231222
119957.0,1999,2008,5.7485428,1.0407289,81.42077109896782,53.25817489419061,1332.7261687917426,53645.59276819968,9,-17.295127980493106,-4.606938867110577,50.76840729595566,Manufacturing,11.117761822962036,67356.9805914014,STAMFORD INDUSTRIAL GROUP,332999.0,1.0407289
120093.0,1997,2013,0.95875859,1.104304,53.01129567197589,111.83577708812624,1117536.4565581214,1053018.6162751047,16,0.8872330295059072,4.77635145797588,-0.37097118303490717,"Mining, Quarrying, and Oil and Gas Extraction",14.118795051501156,1354299.6991527071,CNX RESOURCES CORP,2111.0,1.104304
120113.0,2005,2011,1.0626185,1.1872745,89.87473434891783,81.4243196932912,1715.5531463698776,4139.483785213417,6,1.8659315880989125,-1.6322465050459534,15.812917296633323,Manufacturing,8.944656666274485,7666.81586169169,LINKWELL CORP,325612.0,1.1872745
120134.0,1997,2014,4.7416358,4.5566926,62.73526115026732,36.84845835097661,1228.983765933737,70380.98289674708,17,-0.23375652944510605,-3.0815789605352695,26.88387179303138,Information,13.006710182551414,445392.04912243923,INFORMATICA CORP,511210.0,4.5566926
120156.0,1998,2003,9.620616,6.9623027,62.283950617283956,51.75246156886848,837.0370370370371,2363.6362341929776,5,-6.263225745896916,-3.636853589303213,23.07424855320668,Information,10.016170535794812,22385.54094274146,MARIMBA INC,511210.0,6.9623027
120297.0,2002,2017,1.2163484,0.95561051,67.36072031513788,83.24508041277738,293190.77096229605,2209935.226461099,15,-1.5955219895109396,1.421522013926091,14.414732601449698,Health Care and Social Assistance,14.764262940683647,2582485.694817296,LIFEPOINT HEALTH INC,622110.0,0.95561051
120300.0,1997,2004,2.7637317,1.2478377,62.73526115026732,50.3489012345679,1629.2347320724425,29584.54106280193,7,-10.738119537314128,-3.0932472513976683,51.310386124950554,Information,10.825590667306253,50291.4653784219,PORTAL SOFTWARE INC,511210.0,1.2478377
120301.0,1998,2018,4.3926816,2.5953043,97.09876543209877,47.05475980594472,4947.530864197532,50375.5158694488,20,-2.5968666058151957,-3.5572706204519133,12.30304959763091,Information,12.080761656923945,176444.49975466024,URBAN ONE INC,516110.0,2.5953043
120334.0,1998,2018,1.6967374,1.2388992,64.5679012345679,34.959556815689076,8028.395061728395,212582.6356524231,20,-1.5601219567620728,-3.021053402475804,17.79990836129879,Manufacturing,12.672621110266547,318896.25526487915,SIERRA WIRELESS INC,334220.0,1.2388992
