,year,quarter,PPI,naics_code,date
60461,2018,1,166.1,327212,2018Q1
60464,2018,2,166.6,327212,2018Q2
60467,2018,3,166.6,327212,2018Q3
60470,2018,4,166.6,327212,2018Q4
60474,2019,1,170.1,327212,2019Q1
60477,2019,2,170.1,327212,2019Q2
60480,2019,3,170.1,327212,2019Q3
60483,2019,4,169.4,327212,2019Q4
60487,2020,1,169.8,327212,2020Q1
60490,2020,2,170.9,327212,2020Q2
60493,2020,3,171.0,327212,2020Q3
60496,2020,4,171.3,327212,2020Q4
60500,2021,1,175.2,327212,2021Q1
60503,2021,2,176.0,327212,2021Q2
60506,2021,3,178.945,327212,2021Q3
60509,2021,4,179.375,327212,2021Q4
60513,2022,1,179.545,327212,2022Q1
60516,2022,2,182.059,327212,2022Q2
60519,2022,3,185.082,327212,2022Q3
60522,2022,4,185.212,327212,2022Q4
60526,1965,1,26.9,327213,1965Q1
60529,1965,2,27.0,327213,1965Q2
60532,1965,3,27.1,327213,1965Q3
60535,1965,4,27.6,327213,1965Q4
60539,1966,1,27.6,327213,1966Q1
60542,1966,2,27.4,327213,1966Q2
60545,1966,3,27.4,327213,1966Q3
60548,1966,4,27.9,327213,1966Q4
60552,1967,1,27.9,327213,1967Q1
60555,1967,2,27.9,327213,1967Q2
60558,1967,3,27.9,327213,1967Q3
60561,1967,4,27.9,327213,1967Q4
60565,1968,1,29.4,327213,1968Q1
60568,1968,2,30.3,327213,1968Q2
60571,1968,3,30.3,327213,1968Q3
60574,1968,4,30.5,327213,1968Q4
60578,1969,1,32.1,327213,1969Q1
60581,1969,2,32.1,327213,1969Q2
60584,1969,3,32.1,327213,1969Q3
60587,1969,4,32.1,327213,1969Q4
60591,1970,1,33.4,327213,1970Q1
60594,1970,2,33.4,327213,1970Q2
60597,1970,3,33.4,327213,1970Q3
60600,1970,4,34.7,327213,1970Q4
60604,1971,1,36.7,327213,1971Q1
60607,1971,2,36.7,327213,1971Q2
60610,1971,3,36.7,327213,1971Q3
60613,1971,4,36.7,327213,1971Q4
60617,1972,1,36.7,327213,1972Q1
60620,1972,2,38.0,327213,1972Q2
60623,1972,3,38.1,327213,1972Q3
60626,1972,4,38.1,327213,1972Q4
60630,1973,1,38.1,327213,1973Q1
60633,1973,2,39.6,327213,1973Q2
60636,1973,3,38.3,327213,1973Q3
60639,1973,4,40.1,327213,1973Q4
60643,1974,1,40.7,327213,1974Q1
60646,1974,2,44.1,327213,1974Q2
60649,1974,3,44.1,327213,1974Q3
60652,1974,4,46.4,327213,1974Q4
60656,1975,1,49.4,327213,1975Q1
60659,1975,2,49.4,327213,1975Q2
60662,1975,3,51.8,327213,1975Q3
60665,1975,4,51.9,327213,1975Q4
60669,1976,1,51.8,327213,1976Q1
60672,1976,2,55.1,327213,1976Q2
60675,1976,3,55.1,327213,1976Q3
60678,1976,4,56.4,327213,1976Q4
60682,1977,1,56.4,327213,1977Q1
60685,1977,2,60.9,327213,1977Q2
60688,1977,3,60.9,327213,1977Q3
60691,1977,4,61.0,327213,1977Q4
60695,1978,1,66.0,327213,1978Q1
60698,1978,2,69.5,327213,1978Q2
60701,1978,3,70.0,327213,1978Q3
60704,1978,4,70.0,327213,1978Q4
60708,1979,1,70.0,327213,1979Q1
60711,1979,2,74.1,327213,1979Q2
60714,1979,3,74.1,327213,1979Q3
60717,1979,4,76.6,327213,1979Q4
60721,1980,1,76.6,327213,1980Q1
60724,1980,2,82.2,327213,1980Q2
60727,1980,3,82.2,327213,1980Q3
60730,1980,4,87.0,327213,1980Q4
60734,1981,1,87.0,327213,1981Q1
60737,1981,2,93.6,327213,1981Q2
60740,1981,3,93.7,327213,1981Q3
60743,1981,4,93.7,327213,1981Q4
60747,1982,1,99.4,327213,1982Q1
60750,1982,2,100.0,327213,1982Q2
60753,1982,3,100.1,327213,1982Q3
60756,1982,4,99.9,327213,1982Q4
60760,1983,1,99.1,327213,1983Q1
60763,1983,2,98.5,327213,1983Q2
60766,1983,3,98.2,327213,1983Q3
60769,1983,4,98.0,327213,1983Q4
60773,1984,1,98.2,327213,1984Q1
60776,1984,2,101.7,327213,1984Q2
60779,1984,3,101.8,327213,1984Q3
60782,1984,4,101.7,327213,1984Q4
60786,1985,1,104.2,327213,1985Q1
60789,1985,2,106.3,327213,1985Q2
60792,1985,3,107.9,327213,1985Q3
60795,1985,4,107.9,327213,1985Q4
60799,1986,1,109.9,327213,1986Q1
60802,1986,2,111.4,327213,1986Q2
60805,1986,3,111.9,327213,1986Q3
60808,1986,4,111.4,327213,1986Q4
60812,1987,1,112.2,327213,1987Q1
60815,1987,2,111.8,327213,1987Q2
60818,1987,3,111.3,327213,1987Q3
60821,1987,4,111.0,327213,1987Q4
60825,1988,1,110.6,327213,1988Q1
60828,1988,2,110.6,327213,1988Q2
60831,1988,3,110.6,327213,1988Q3
60834,1988,4,110.6,327213,1988Q4
60838,1989,1,112.2,327213,1989Q1
60841,1989,2,114.2,327213,1989Q2
60844,1989,3,114.0,327213,1989Q3
60847,1989,4,114.0,327213,1989Q4
60851,1990,1,118.2,327213,1990Q1
60854,1990,2,118.9,327213,1990Q2
60857,1990,3,119.2,327213,1990Q3
60860,1990,4,119.1,327213,1990Q4
60864,1991,1,123.0,327213,1991Q1
60867,1991,2,123.5,327213,1991Q2
60870,1991,3,123.6,327213,1991Q3
60873,1991,4,123.6,327213,1991Q4
60877,1992,1,123.4,327213,1992Q1
60880,1992,2,123.0,327213,1992Q2
60883,1992,3,122.9,327213,1992Q3
60886,1992,4,122.7,327213,1992Q4
60890,1993,1,123.0,327213,1993Q1
60893,1993,2,123.9,327213,1993Q2
60896,1993,3,124.6,327213,1993Q3
60899,1993,4,124.4,327213,1993Q4
60903,1994,1,124.3,327213,1994Q1
60906,1994,2,125.8,327213,1994Q2
60909,1994,3,126.1,327213,1994Q3
60912,1994,4,126.2,327213,1994Q4
60916,1995,1,127.9,327213,1995Q1
60919,1995,2,128.6,327213,1995Q2
60922,1995,3,129.0,327213,1995Q3
60925,1995,4,129.0,327213,1995Q4
60929,1996,1,127.1,327213,1996Q1
60932,1996,2,127.4,327213,1996Q2
60935,1996,3,127.1,327213,1996Q3
60938,1996,4,125.2,327213,1996Q4
60942,1997,1,123.8,327213,1997Q1
60945,1997,2,123.4,327213,1997Q2
60948,1997,3,123.6,327213,1997Q3
60951,1997,4,123.8,327213,1997Q4
60955,1998,1,123.8,327213,1998Q1
60958,1998,2,123.4,327213,1998Q2
60961,1998,3,123.9,327213,1998Q3
60964,1998,4,123.9,327213,1998Q4
60968,1999,1,123.8,327213,1999Q1
60971,1999,2,124.2,327213,1999Q2
60974,1999,3,123.6,327213,1999Q3
60977,1999,4,123.6,327213,1999Q4
60981,2000,1,125.1,327213,2000Q1
60984,2000,2,125.4,327213,2000Q2
60987,2000,3,125.4,327213,2000Q3
60990,2000,4,125.3,327213,2000Q4
60994,2001,1,130.2,327213,2001Q1
60997,2001,2,131.7,327213,2001Q2
61000,2001,3,130.8,327213,2001Q3
61003,2001,4,131.0,327213,2001Q4
61007,2002,1,132.7,327213,2002Q1
61010,2002,2,133.8,327213,2002Q2
61013,2002,3,133.9,327213,2002Q3
61016,2002,4,134.1,327213,2002Q4
61020,2003,1,137.0,327213,2003Q1
61023,2003,2,137.7,327213,2003Q2
61026,2003,3,138.6,327213,2003Q3
61029,2003,4,138.5,327213,2003Q4
61033,2004,1,141.0,327213,2004Q1
61036,2004,2,142.1,327213,2004Q2
61039,2004,3,142.6,327213,2004Q3
61042,2004,4,142.7,327213,2004Q4
61046,2005,1,143.9,327213,2005Q1
61049,2005,2,143.5,327213,2005Q2
61052,2005,3,142.9,327213,2005Q3
61055,2005,4,145.2,327213,2005Q4
61059,2006,1,149.8,327213,2006Q1
61062,2006,2,151.1,327213,2006Q2
61065,2006,3,150.1,327213,2006Q3
61068,2006,4,152.7,327213,2006Q4
61072,2007,1,156.7,327213,2007Q1
61075,2007,2,160.1,327213,2007Q2
61078,2007,3,161.8,327213,2007Q3
61081,2007,4,160.3,327213,2007Q4
61085,2008,1,166.3,327213,2008Q1
61088,2008,2,168.6,327213,2008Q2
61091,2008,3,171.7,327213,2008Q3
61094,2008,4,173.7,327213,2008Q4
61098,2009,1,177.1,327213,2009Q1
61101,2009,2,176.8,327213,2009Q2
61104,2009,3,176.1,327213,2009Q3
61107,2009,4,176.8,327213,2009Q4
61111,2010,1,178.1,327213,2010Q1
61114,2010,2,179.3,327213,2010Q2
61117,2010,3,179.5,327213,2010Q3
61120,2010,4,179.3,327213,2010Q4
61124,2011,1,181.9,327213,2011Q1
61127,2011,2,181.6,327213,2011Q2
61130,2011,3,181.8,327213,2011Q3
61133,2011,4,183.8,327213,2011Q4
61137,2012,1,185.5,327213,2012Q1
61140,2012,2,186.0,327213,2012Q2
61143,2012,3,185.0,327213,2012Q3
61146,2012,4,185.3,327213,2012Q4
61150,2013,1,187.5,327213,2013Q1
61153,2013,2,187.9,327213,2013Q2
61156,2013,3,188.6,327213,2013Q3
61159,2013,4,188.9,327213,2013Q4
61163,2014,1,191.5,327213,2014Q1
61166,2014,2,190.9,327213,2014Q2
61169,2014,3,190.9,327213,2014Q3
61172,2014,4,190.4,327213,2014Q4
61176,2015,1,194.5,327213,2015Q1
61179,2015,2,194.5,327213,2015Q2
61182,2015,3,194.5,327213,2015Q3
61185,2015,4,194.3,327213,2015Q4
61189,2016,1,194.4,327213,2016Q1
61192,2016,2,194.8,327213,2016Q2
61195,2016,3,195.1,327213,2016Q3
61198,2016,4,195.4,327213,2016Q4
61202,2017,1,198.0,327213,2017Q1
61205,2017,2,197.0,327213,2017Q2
61208,2017,3,196.9,327213,2017Q3
61211,2017,4,197.6,327213,2017Q4
61215,2018,1,200.8,327213,2018Q1
61218,2018,2,201.7,327213,2018Q2
61221,2018,3,201.9,327213,2018Q3
61224,2018,4,202.0,327213,2018Q4
61228,2019,1,206.1,327213,2019Q1
61231,2019,2,207.2,327213,2019Q2
61234,2019,3,207.5,327213,2019Q3
61237,2019,4,207.5,327213,2019Q4
61241,2020,1,212.3,327213,2020Q1
61244,2020,2,211.4,327213,2020Q2
61247,2020,3,211.4,327213,2020Q3
61250,2020,4,211.0,327213,2020Q4
61254,2021,1,221.3,327213,2021Q1
61257,2021,2,221.1,327213,2021Q2
61260,2021,3,234.240,327213,2021Q3
61263,2021,4,239.371,327213,2021Q4
61267,2022,1,248.298,327213,2022Q1
61270,2022,2,249.400,327213,2022Q2
61273,2022,3,250.239,327213,2022Q3
61276,2022,4,254.358,327213,2022Q4
61278,1983,2,100.0,327215,1983Q2
61281,1983,3,99.4,327215,1983Q3
61284,1983,4,100.9,327215,1983Q4
61287,1984,1,101.2,327215,1984Q1
61290,1984,2,102.2,327215,1984Q2
61293,1984,3,102.8,327215,1984Q3
61296,1984,4,103.1,327215,1984Q4
61300,1985,1,103.6,327215,1985Q1
61303,1985,2,105.6,327215,1985Q2
61306,1985,3,107.1,327215,1985Q3
61309,1985,4,107.8,327215,1985Q4
61313,1986,1,108.1,327215,1986Q1
61316,1986,2,108.3,327215,1986Q2
61319,1986,3,108.0,327215,1986Q3
61322,1986,4,108.9,327215,1986Q4
61326,1987,1,109.6,327215,1987Q1
61329,1987,2,109.7,327215,1987Q2
61332,1987,3,110.1,327215,1987Q3
61335,1987,4,111.0,327215,1987Q4
61339,1988,1,112.6,327215,1988Q1
61342,1988,2,113.2,327215,1988Q2
61345,1988,3,114.1,327215,1988Q3
61348,1988,4,114.5,327215,1988Q4
61352,1989,1,114.9,327215,1989Q1
61355,1989,2,117.5,327215,1989Q2
61358,1989,3,117.8,327215,1989Q3
61361,1989,4,118.5,327215,1989Q4
61365,1990,1,117.8,327215,1990Q1
61368,1990,2,117.2,327215,1990Q2
61371,1990,3,116.8,327215,1990Q3
61374,1990,4,117.4,327215,1990Q4
61378,1991,1,118.2,327215,1991Q1
61381,1991,2,118.2,327215,1991Q2
61384,1991,3,119.5,327215,1991Q3
61387,1991,4,119.6,327215,1991Q4
61391,1992,1,119.9,327215,1992Q1
61394,1992,2,120.4,327215,1992Q2
61397,1992,3,120.6,327215,1992Q3
61400,1992,4,121.4,327215,1992Q4
61404,1993,1,121.5,327215,1993Q1
61407,1993,2,122.6,327215,1993Q2
61410,1993,3,123.0,327215,1993Q3
61413,1993,4,122.2,327215,1993Q4
61417,1994,1,122.7,327215,1994Q1
61420,1994,2,124.6,327215,1994Q2
61423,1994,3,123.7,327215,1994Q3
61426,1994,4,125.0,327215,1994Q4
61430,1995,1,126.6,327215,1995Q1
61433,1995,2,127.4,327215,1995Q2
61436,1995,3,127.2,327215,1995Q3
61439,1995,4,126.8,327215,1995Q4
61443,1996,1,126.3,327215,1996Q1
61446,1996,2,125.9,327215,1996Q2
61449,1996,3,126.2,327215,1996Q3
61452,1996,4,126.6,327215,1996Q4
61456,1997,1,126.8,327215,1997Q1
61459,1997,2,126.9,327215,1997Q2
61462,1997,3,127.4,327215,1997Q3
61465,1997,4,127.1,327215,1997Q4
61469,1998,1,126.8,327215,1998Q1
61472,1998,2,127.5,327215,1998Q2
61475,1998,3,128.0,327215,1998Q3
61478,1998,4,127.8,327215,1998Q4
61482,1999,1,127.9,327215,1999Q1
61485,1999,2,128.3,327215,1999Q2
61488,1999,3,129.1,327215,1999Q3
61491,1999,4,128.8,327215,1999Q4
61495,2000,1,129.5,327215,2000Q1
61498,2000,2,131.5,327215,2000Q2
61501,2000,3,133.3,327215,2000Q3
61504,2000,4,132.1,327215,2000Q4
61508,2001,1,133.0,327215,2001Q1
61511,2001,2,133.7,327215,2001Q2
61514,2001,3,134.6,327215,2001Q3
61517,2001,4,134.2,327215,2001Q4
61521,2002,1,133.4,327215,2002Q1
61524,2002,2,133.8,327215,2002Q2
61527,2002,3,134.2,327215,2002Q3
61530,2002,4,134.3,327215,2002Q4
61534,2003,1,134.0,327215,2003Q1
61537,2003,2,133.5,327215,2003Q2
61540,2003,3,132.9,327215,2003Q3
61543,2003,4,133.0,327215,2003Q4
61547,2004,1,133.0,327215,2004Q1
61550,2004,2,131.8,327215,2004Q2
61553,2004,3,132.0,327215,2004Q3
61556,2004,4,132.3,327215,2004Q4
61560,2005,1,134.1,327215,2005Q1
61563,2005,2,134.5,327215,2005Q2
61566,2005,3,135.3,327215,2005Q3
61569,2005,4,136.1,327215,2005Q4
61573,2006,1,137.7,327215,2006Q1
61576,2006,2,138.4,327215,2006Q2
61579,2006,3,138.7,327215,2006Q3
61582,2006,4,139.5,327215,2006Q4
61586,2007,1,140.5,327215,2007Q1
61589,2007,2,140.1,327215,2007Q2
61592,2007,3,140.2,327215,2007Q3
61595,2007,4,139.6,327215,2007Q4
61599,2008,1,140.2,327215,2008Q1
61602,2008,2,140.0,327215,2008Q2
61605,2008,3,143.1,327215,2008Q3
61608,2008,4,145.5,327215,2008Q4
61612,2009,1,143.9,327215,2009Q1
61615,2009,2,143.0,327215,2009Q2
61618,2009,3,143.3,327215,2009Q3
61621,2009,4,141.3,327215,2009Q4
61625,2010,1,141.5,327215,2010Q1
61628,2010,2,140.8,327215,2010Q2
61631,2010,3,142.1,327215,2010Q3
61634,2010,4,142.4,327215,2010Q4
61638,2011,1,143.2,327215,2011Q1
61641,2011,2,143.6,327215,2011Q2
61644,2011,3,146.1,327215,2011Q3
61647,2011,4,147.7,327215,2011Q4
61651,2012,1,148.4,327215,2012Q1
61654,2012,2,147.9,327215,2012Q2
61657,2012,3,149.3,327215,2012Q3
61660,2012,4,150.4,327215,2012Q4
61664,2013,1,151.2,327215,2013Q1
61667,2013,2,152.9,327215,2013Q2
61670,2013,3,153.6,327215,2013Q3
61673,2013,4,153.1,327215,2013Q4
61677,2014,1,154.9,327215,2014Q1
61680,2014,2,154.5,327215,2014Q2
61683,2014,3,157.2,327215,2014Q3
61686,2014,4,156.8,327215,2014Q4
61690,2015,1,158.5,327215,2015Q1
61693,2015,2,162.9,327215,2015Q2
61696,2015,3,165.1,327215,2015Q3
61699,2015,4,166.1,327215,2015Q4
61703,2016,1,168.2,327215,2016Q1
61706,2016,2,169.4,327215,2016Q2
61709,2016,3,169.9,327215,2016Q3
61712,2016,4,170.7,327215,2016Q4
61716,2017,1,171.1,327215,2017Q1
61719,2017,2,170.8,327215,2017Q2
61722,2017,3,170.9,327215,2017Q3
61725,2017,4,170.7,327215,2017Q4
61729,2018,1,172.2,327215,2018Q1
61732,2018,2,173.5,327215,2018Q2
61735,2018,3,173.5,327215,2018Q3
61738,2018,4,173.5,327215,2018Q4
61742,2019,1,174.0,327215,2019Q1
61745,2019,2,174.2,327215,2019Q2
61748,2019,3,174.9,327215,2019Q3
61751,2019,4,175.2,327215,2019Q4
61755,2020,1,177.4,327215,2020Q1
61758,2020,2,177.2,327215,2020Q2
61761,2020,3,177.2,327215,2020Q3
61764,2020,4,180.7,327215,2020Q4
61768,2021,1,187.2,327215,2021Q1
61771,2021,2,193.7,327215,2021Q2
61774,2021,3,196.193,327215,2021Q3
61777,2021,4,199.850,327215,2021Q4
61781,2022,1,206.179,327215,2022Q1
61784,2022,2,193.151,327215,2022Q2
61787,2022,3,197.761,327215,2022Q3
61790,2022,4,200.475,327215,2022Q4
61792,2003,4,100.0,3273,2003Q4
61795,2004,1,101.7,3273,2004Q1
61798,2004,2,103.6,3273,2004Q2
61801,2004,3,106.4,3273,2004Q3
61804,2004,4,107.7,3273,2004Q4
61808,2005,1,112.0,3273,2005Q1
61811,2005,2,113.8,3273,2005Q2
61814,2005,3,117.0,3273,2005Q3
61817,2005,4,118.9,3273,2005Q4
61821,2006,1,124.8,3273,2006Q1
61824,2006,2,126.6,3273,2006Q2
61827,2006,3,128.1,3273,2006Q3
61830,2006,4,128.6,3273,2006Q4
61834,2007,1,131.2,3273,2007Q1
61837,2007,2,131.8,3273,2007Q2
61840,2007,3,132.3,3273,2007Q3
61843,2007,4,133.2,3273,2007Q4
61847,2008,1,134.3,3273,2008Q1
61850,2008,2,136.2,3273,2008Q2
61853,2008,3,137.6,3273,2008Q3
61856,2008,4,138.8,3273,2008Q4
61860,2009,1,139.3,3273,2009Q1
61863,2009,2,138.3,3273,2009Q2
61866,2009,3,136.8,3273,2009Q3
61869,2009,4,136.1,3273,2009Q4
61873,2010,1,136.1,3273,2010Q1
61876,2010,2,135.3,3273,2010Q2
61879,2010,3,134.9,3273,2010Q3
61882,2010,4,134.9,3273,2010Q4
61886,2011,1,134.7,3273,2011Q1
61889,2011,2,135.0,3273,2011Q2
61892,2011,3,135.2,3273,2011Q3
61895,2011,4,135.6,3273,2011Q4
61899,2012,1,137.1,3273,2012Q1
61902,2012,2,137.2,3273,2012Q2
61905,2012,3,137.9,3273,2012Q3
61908,2012,4,139.1,3273,2012Q4
61912,2013,1,140.2,3273,2013Q1
61915,2013,2,141.7,3273,2013Q2
61918,2013,3,142.4,3273,2013Q3
61921,2013,4,142.9,3273,2013Q4
61925,2014,1,145.4,3273,2014Q1
61928,2014,2,147.0,3273,2014Q2
61931,2014,3,149.1,3273,2014Q3
61934,2014,4,150.4,3273,2014Q4
61938,2015,1,152.5,3273,2015Q1
61941,2015,2,153.7,3273,2015Q2
61944,2015,3,154.1,3273,2015Q3
61947,2015,4,155.0,3273,2015Q4
61951,2016,1,157.4,3273,2016Q1
61954,2016,2,158.7,3273,2016Q2
61957,2016,3,159.1,3273,2016Q3
61960,2016,4,159.8,3273,2016Q4
61964,2017,1,161.6,3273,2017Q1
61967,2017,2,163.5,3273,2017Q2
61970,2017,3,163.6,3273,2017Q3
61973,2017,4,164.3,3273,2017Q4
61977,2018,1,168.9,3273,2018Q1
61980,2018,2,169.3,3273,2018Q2
61983,2018,3,170.1,3273,2018Q3
61986,2018,4,170.1,3273,2018Q4
61990,2019,1,171.5,3273,2019Q1
61993,2019,2,175.3,3273,2019Q2
61996,2019,3,175.4,3273,2019Q3
61999,2019,4,175.0,3273,2019Q4
62003,2020,1,178.2,3273,2020Q1
62006,2020,2,178.6,3273,2020Q2
62009,2020,3,179.2,3273,2020Q3
62012,2020,4,178.8,3273,2020Q4
62016,2021,1,182.1,3273,2021Q1
62019,2021,2,185.7,3273,2021Q2
62022,2021,3,190.941,3273,2021Q3
62025,2021,4,193.806,3273,2021Q4
62029,2022,1,201.617,3273,2022Q1
62032,2022,2,210.312,3273,2022Q2
62035,2022,3,218.508,3273,2022Q3
62038,2022,4,223.326,3273,2022Q4
62042,1965,1,28.7,32731,1965Q1
62045,1965,2,28.7,32731,1965Q2
62048,1965,3,28.7,32731,1965Q3
62051,1965,4,28.7,32731,1965Q4
62055,1966,1,28.8,32731,1966Q1
62058,1966,2,28.8,32731,1966Q2
62061,1966,3,28.8,32731,1966Q3
62064,1966,4,28.8,32731,1966Q4
62068,1967,1,29.3,32731,1967Q1
62071,1967,2,29.2,32731,1967Q2
62074,1967,3,29.2,32731,1967Q3
62077,1967,4,29.2,32731,1967Q4
62081,1968,1,30.0,32731,1968Q1
62084,1968,2,30.0,32731,1968Q2
62087,1968,3,30.0,32731,1968Q3
62090,1968,4,30.0,32731,1968Q4
62094,1969,1,30.9,32731,1969Q1
62097,1969,2,30.9,32731,1969Q2
62100,1969,3,30.9,32731,1969Q3
62103,1969,4,30.9,32731,1969Q4
62107,1970,1,32.3,32731,1970Q1
62110,1970,2,32.4,32731,1970Q2
62113,1970,3,32.4,32731,1970Q3
62116,1970,4,32.4,32731,1970Q4
62120,1971,1,36.1,32731,1971Q1
62123,1971,2,36.1,32731,1971Q2
62126,1971,3,37.4,32731,1971Q3
62129,1971,4,37.4,32731,1971Q4
62133,1972,1,37.5,32731,1972Q1
62136,1972,2,38.6,32731,1972Q2
62139,1972,3,39.3,32731,1972Q3
62142,1972,4,39.3,32731,1972Q4
62146,1973,1,39.6,32731,1973Q1
62149,1973,2,40.2,32731,1973Q2
62152,1973,3,40.3,32731,1973Q3
62155,1973,4,40.5,32731,1973Q4
62159,1974,1,44.4,32731,1974Q1
62162,1974,2,45.7,32731,1974Q2
62165,1974,3,49.8,32731,1974Q3
62168,1974,4,50.0,32731,1974Q4
62172,1975,1,55.4,32731,1975Q1
62175,1975,2,56.5,32731,1975Q2
62178,1975,3,57.5,32731,1975Q3
62181,1975,4,57.4,32731,1975Q4
62185,1976,1,59.7,32731,1976Q1
62188,1976,2,62.6,32731,1976Q2
62191,1976,3,63.3,32731,1976Q3
62194,1976,4,63.3,32731,1976Q4
62198,1977,1,65.3,32731,1977Q1
62201,1977,2,67.2,32731,1977Q2
62204,1977,3,67.6,32731,1977Q3
62207,1977,4,67.5,32731,1977Q4
62211,1978,1,71.1,32731,1978Q1
62214,1978,2,73.4,32731,1978Q2
62217,1978,3,74.8,32731,1978Q3
62220,1978,4,74.9,32731,1978Q4
62224,1979,1,82.0,32731,1979Q1
62227,1979,2,83.0,32731,1979Q2
62230,1979,3,83.5,32731,1979Q3
62233,1979,4,83.7,32731,1979Q4
62237,1980,1,89.6,32731,1980Q1
62240,1980,2,91.8,32731,1980Q2
62243,1980,3,91.3,32731,1980Q3
62246,1980,4,90.8,32731,1980Q4
62250,1981,1,94.9,32731,1981Q1
62253,1981,2,96.8,32731,1981Q2
62256,1981,3,97.1,32731,1981Q3
62259,1981,4,96.6,32731,1981Q4
62263,1982,1,99.9,32731,1982Q1
62266,1982,2,100.0,32731,1982Q2
62269,1982,3,98.7,32731,1982Q3
62272,1982,4,95.8,32731,1982Q4
62276,1983,1,97.0,32731,1983Q1
62279,1983,2,99.8,32731,1983Q2
62282,1983,3,101.8,32731,1983Q3
62285,1983,4,99.2,32731,1983Q4
62289,1984,1,103.5,32731,1984Q1
62292,1984,2,103.1,32731,1984Q2
62295,1984,3,103.5,32731,1984Q3
62298,1984,4,104.8,32731,1984Q4
62302,1985,1,105.6,32731,1985Q1
62305,1985,2,106.2,32731,1985Q2
62308,1985,3,104.8,32731,1985Q3
62311,1985,4,104.1,32731,1985Q4
62315,1986,1,104.4,32731,1986Q1
62318,1986,2,103.3,32731,1986Q2
62321,1986,3,102.7,32731,1986Q3
62324,1986,4,99.2,32731,1986Q4
62328,1987,1,101.2,32731,1987Q1
62331,1987,2,101.2,32731,1987Q2
62334,1987,3,101.1,32731,1987Q3
62337,1987,4,100.6,32731,1987Q4
62341,1988,1,101.1,32731,1988Q1
62344,1988,2,101.7,32731,1988Q2
62347,1988,3,100.9,32731,1988Q3
62350,1988,4,100.6,32731,1988Q4
62354,1989,1,100.2,32731,1989Q1
62357,1989,2,101.2,32731,1989Q2
62360,1989,3,101.6,32731,1989Q3
62363,1989,4,101.7,32731,1989Q4
62367,1990,1,102.0,32731,1990Q1
62370,1990,2,102.4,32731,1990Q2
62373,1990,3,103.5,32731,1990Q3
62376,1990,4,103.8,32731,1990Q4
62380,1991,1,105.8,32731,1991Q1
62383,1991,2,106.6,32731,1991Q2
62386,1991,3,105.4,32731,1991Q3
62389,1991,4,104.9,32731,1991Q4
62393,1992,1,105.4,32731,1992Q1
62396,1992,2,105.4,32731,1992Q2
62399,1992,3,104.8,32731,1992Q3
62402,1992,4,105.4,32731,1992Q4
62406,1993,1,107.0,32731,1993Q1
62409,1993,2,111.9,32731,1993Q2
62412,1993,3,112.7,32731,1993Q3
62415,1993,4,113.4,32731,1993Q4
62419,1994,1,115.3,32731,1994Q1
62422,1994,2,119.5,32731,1994Q2
62425,1994,3,121.0,32731,1994Q3
62428,1994,4,121.3,32731,1994Q4
62432,1995,1,123.2,32731,1995Q1
62435,1995,2,128.5,32731,1995Q2
62438,1995,3,129.0,32731,1995Q3
62441,1995,4,128.5,32731,1995Q4
62445,1996,1,129.2,32731,1996Q1
62448,1996,2,133.8,32731,1996Q2
62451,1996,3,135.1,32731,1996Q3
62454,1996,4,134.8,32731,1996Q4
62458,1997,1,135.2,32731,1997Q1
62461,1997,2,138.9,32731,1997Q2
62464,1997,3,139.2,32731,1997Q3
62467,1997,4,139.3,32731,1997Q4
62471,1998,1,139.8,32731,1998Q1
62474,1998,2,145.5,32731,1998Q2
62477,1998,3,146.5,32731,1998Q3
62480,1998,4,146.5,32731,1998Q4
62484,1999,1,147.9,32731,1999Q1
62487,1999,2,149.9,32731,1999Q2
62490,1999,3,149.8,32731,1999Q3
62493,1999,4,149.0,32731,1999Q4
62497,2000,1,148.1,32731,2000Q1
62500,2000,2,149.3,32731,2000Q2
62503,2000,3,148.6,32731,2000Q3
62506,2000,4,147.5,32731,2000Q4
62510,2001,1,147.4,32731,2001Q1
62513,2001,2,148.6,32731,2001Q2
62516,2001,3,149.1,32731,2001Q3
62519,2001,4,149.0,32731,2001Q4
62523,2002,1,147.9,32731,2002Q1
62526,2002,2,151.9,32731,2002Q2
62529,2002,3,152.6,32731,2002Q3
62532,2002,4,151.0,32731,2002Q4
62536,2003,1,151.1,32731,2003Q1
62539,2003,2,151.2,32731,2003Q2
62542,2003,3,150.2,32731,2003Q3
62545,2003,4,149.3,32731,2003Q4
62549,2004,1,150.2,32731,2004Q1
62552,2004,2,153.9,32731,2004Q2
62555,2004,3,160.4,32731,2004Q3
62558,2004,4,161.5,32731,2004Q4
62562,2005,1,169.0,32731,2005Q1
62565,2005,2,172.5,32731,2005Q2
62568,2005,3,180.2,32731,2005Q3
62571,2005,4,181.3,32731,2005Q4
62575,2006,1,195.3,32731,2006Q1
62578,2006,2,197.8,32731,2006Q2
62581,2006,3,201.0,32731,2006Q3
62584,2006,4,200.8,32731,2006Q4
62588,2007,1,205.1,32731,2007Q1
62591,2007,2,208.3,32731,2007Q2
62594,2007,3,210.7,32731,2007Q3
62597,2007,4,209.1,32731,2007Q4
62601,2008,1,208.9,32731,2008Q1
62604,2008,2,204.1,32731,2008Q2
62607,2008,3,207.5,32731,2008Q3
62610,2008,4,206.9,32731,2008Q4
62614,2009,1,205.1,32731,2009Q1
